id,name,definition,aspect
GO:0052634,C-19 gibberellin 2-beta-dioxygenase activity,Catalysis of the reaction: a C-19 gibberellin + 2-oxoglutarate + O2 = a C-19 2-beta-hydroxygibberellin + succinate + CO2. C-19 gibberellin refers to a gibberellin with nineteen carbons.,molecular_function
GO:0003677,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,molecular_function
GO:0005730,nucleolus,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.",cellular_component
GO:0005739,mitochondrion,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.",cellular_component
GO:0003148,outflow tract septum morphogenesis,The process in which the anatomical structures of the outflow tract septum are generated and organized. The outflow tract septum is a partition in the outflow tract.,biological_process
GO:0015174,basic amino acid transmembrane transporter activity,Enables the transfer of basic amino acids from one side of a membrane to the other. Basic amino acids have side chains with a positive charge at pH 7.3.,molecular_function
GO:0005874,microtubule,"Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle.",cellular_component
GO:0005886,plasma membrane,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,cellular_component
GO:0004018,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity","Catalysis of the reaction: N6-(1,2-dicarboxyethyl)AMP = fumarate + AMP.",molecular_function
GO:0004017,adenylate kinase activity,Catalysis of the reaction: ATP + AMP = 2 ADP.,molecular_function
GO:0006744,ubiquinone biosynthetic process,"The chemical reactions and pathways resulting in the formation of ubiquinone, a lipid-soluble electron-transporting coenzyme.",biological_process
GO:0043765,T/G mismatch-specific endonuclease activity,"Catalysis of the repair of T/G mismatches arising from deamination of 5-methylcytosine in DNA by nicking double-stranded DNA within the sequence CT(AT)GN or NT(AT)GG next to the mismatched thymidine residue. The incision is mismatch-dependent and strand-specific, in favor of the G-containing strand. The incision serves as a starting point for subsequent excision repair by DNA polymerase I, which excises thymidine and reinserts cytidine.",molecular_function
GO:0080118,brassinosteroid sulfotransferase activity,"Catalysis of the reaction: a brassinosteroid + 3'-phosphoadenosine-5'-phosphosulfate = sulfated brassinosteroid + adenosine-3',5'-diphosphate. This reaction is the transfer of a sulfate group to the hydroxyl group of a brassinosteroid acceptor, producing the sulfated brassinosteroid derivative.",molecular_function
GO:0043149,stress fiber assembly,"The aggregation, arrangement and bonding together of a set of components to form a stress fiber. A stress fiber is a contractile actin filament bundle that consists of short actin filaments with alternating polarity.",biological_process
GO:0006281,DNA repair,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.",biological_process
GO:0045892,"negative regulation of transcription, DNA-templated","Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.",biological_process
GO:0045893,"positive regulation of transcription, DNA-templated","Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription.",biological_process
GO:0015280,ligand-gated sodium channel activity,Enables the transmembrane transfer of a sodium ion by a channel that opens when a specific ligand has been bound by the channel complex or one of its constituent parts.,molecular_function
GO:0005829,cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",cellular_component
GO:0005509,calcium ion binding,Interacting selectively and non-covalently with calcium ions (Ca2+).,molecular_function
GO:0005544,calcium-dependent phospholipid binding,"Interacting selectively and non-covalently with phospholipids, a class of lipids containing phosphoric acid as a mono- or diester, in the presence of calcium.",molecular_function
GO:0030552,cAMP binding,"Interacting selectively and non-covalently with cAMP, the nucleotide cyclic AMP (adenosine 3',5'-cyclophosphate).",molecular_function
GO:0005634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",cellular_component
GO:0042605,peptide antigen binding,Interacting selectively and non-covalently with an antigen peptide.,molecular_function
GO:0005615,extracellular space,"That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid.",cellular_component
GO:0015020,glucuronosyltransferase activity,Catalysis of the reaction: UDP-glucuronate + acceptor = UDP + acceptor beta-D-glucuronoside.,molecular_function
GO:0031293,membrane protein intracellular domain proteolysis,The proteolytic cleavage of a transmembrane protein leading to the release of an intracellular domain.,biological_process
GO:0080058,protein deglutathionylation,The protein modification process in which a glutathione molecule is removed from a protein amino acid by breaking a disulfide linkage.,biological_process
GO:0017057,6-phosphogluconolactonase activity,"Catalysis of the reaction: 6-O-phosphono-D-glucono-1,5-lactone + H(2)O = 6-phospho-D-gluconate + H(+).",molecular_function
GO:0030033,microvillus assembly,"Formation of a microvillus, a thin cylindrical membrane-covered projection on the surface of a cell.",biological_process
GO:0005229,intracellular calcium activated chloride channel activity,"Enables the transmembrane transfer of chloride by a channel that opens in response to stimulus by a calcium ion or ions. Transport by a channel involves catalysis of facilitated diffusion of a solute (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel, without evidence for a carrier-mediated mechanism.",molecular_function
GO:0005249,voltage-gated potassium channel activity,Enables the transmembrane transfer of a potassium ion by a voltage-gated channel. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded.,molecular_function
GO:0052691,UDP-arabinopyranose mutase activity,Catalysis of the reaction: UDP-beta-L-arabinofuranose = UDP-beta-L-arabinopyranose.,molecular_function
GO:0005388,"calcium transmembrane transporter activity, phosphorylative mechanism",Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + Ca2+(cis) = ADP + phosphate + Ca2+(trans).,molecular_function
GO:0005460,UDP-glucose transmembrane transporter activity,Enables the transfer of a UDP-glucose from one side of a membrane to the other. UDP-glucose is a substance composed of glucose in glycosidic linkage with uridine diphosphate.,molecular_function
GO:0005459,UDP-galactose transmembrane transporter activity,Enables the transfer of a UDP-galactose from one side of a membrane to the other. UDP-galactose is a substance composed of galactose in glycosidic linkage with uridine diphosphate.,molecular_function
GO:0005458,GDP-mannose transmembrane transporter activity,Enables the transfer of a GDP-mannose from one side of a membrane to the other. GDP-mannose is a substance composed of mannose in glycosidic linkage with guanosine diphosphate.,molecular_function
GO:0005104,fibroblast growth factor receptor binding,Interacting selectively and non-covalently with the fibroblast growth factor receptor (FGFR).,molecular_function
GO:0017128,phospholipid scramblase activity,"Catalysis of the movement of phospholipids from one membrane bilayer leaflet to the other, by an ATP-independent mechanism.",molecular_function
GO:0043065,positive regulation of apoptotic process,"Any process that activates or increases the frequency, rate or extent of cell death by apoptotic process.",biological_process
GO:0019905,syntaxin binding,"Interacting selectively and non-covalently with a syntaxin, a SNAP receptor involved in the docking of synaptic vesicles at the presynaptic zone of a synapse.",molecular_function
GO:0005302,L-tyrosine transmembrane transporter activity,Enables the transfer of L-tyrosine from one side of a membrane to the other. L-tyrosine is 2-amino-3-(4-hydroxyphenyl)propanoic acid.,molecular_function
GO:0004521,endoribonuclease activity,Catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks.,molecular_function
GO:0004571,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",Catalysis of the hydrolysis of the terminal (1->2)-linked alpha-D-mannose residues in an oligo-mannose oligosaccharide.,molecular_function
GO:0004568,chitinase activity,Catalysis of the hydrolysis of (1->4)-beta linkages of N-acetyl-D-glucosamine (GlcNAc) polymers of chitin and chitodextrins.,molecular_function
GO:0016579,protein deubiquitination,The removal of one or more ubiquitin groups from a protein.,biological_process
GO:0006897,endocytosis,A vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle.,biological_process
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,"The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi.",biological_process
GO:0051082,unfolded protein binding,Interacting selectively and non-covalently with an unfolded protein.,molecular_function
GO:0004713,protein tyrosine kinase activity,Catalysis of the reaction: ATP + a protein tyrosine = ADP + protein tyrosine phosphate.,molecular_function
GO:0004721,phosphoprotein phosphatase activity,"Catalysis of the reaction: a phosphoprotein + H2O = a protein + phosphate. Together with protein kinases, these enzymes control the state of phosphorylation of cell proteins and thereby provide an important mechanism for regulating cellular activity.",molecular_function
GO:0000014,single-stranded DNA endodeoxyribonuclease activity,Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks.,molecular_function
GO:0031370,eukaryotic initiation factor 4G binding,"Interacting selectively and non-covalently with eukaryotic initiation factor 4G, a polypeptide factor involved in the initiation of ribosome-mediated translation.",molecular_function
GO:0006509,membrane protein ectodomain proteolysis,The proteolytic cleavage of transmembrane proteins and release of their ectodomain (extracellular domain).,biological_process
GO:0004415,hyalurononglucosaminidase activity,Catalysis of the random hydrolysis of (1->4) linkages between N-acetyl-beta-D-glucosamine and D-glucuronate residues in hyaluronate.,molecular_function
GO:0004180,carboxypeptidase activity,Catalysis of the hydrolysis of the terminal or penultimate peptide bond at the C-terminal end of a peptide or polypeptide.,molecular_function
GO:0043406,positive regulation of MAP kinase activity,"Any process that activates or increases the frequency, rate or extent of MAP kinase activity.",biological_process
GO:0006468,protein phosphorylation,The process of introducing a phosphate group on to a protein.,biological_process
GO:0006476,protein deacetylation,"The removal of an acetyl group from a protein amino acid. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid.",biological_process
GO:0031848,protection from non-homologous end joining at telomere,"A process that prevents non-homologous end joining at telomere, thereby ensuring that telomeres do not fuse.",biological_process
GO:0016298,lipase activity,Catalysis of the hydrolysis of a lipid or phospholipid.,molecular_function
GO:0004303,estradiol 17-beta-dehydrogenase activity,Catalysis of the reaction: estradiol-17-beta + NADP+ = estrone + NADPH + H+.,molecular_function
GO:0006935,chemotaxis,"The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis).",biological_process
GO:0004340,glucokinase activity,Catalysis of the reaction: ATP + D-glucose = ADP + D-glucose-6-phosphate.,molecular_function
GO:0004396,hexokinase activity,Catalysis of the reaction: ATP + D-hexose = ADP + D-hexose 6-phosphate.,molecular_function
GO:0004619,phosphoglycerate mutase activity,Catalysis of the reaction: 2-phospho-D-glycerate = 3-phospho-D-glycerate.,molecular_function
GO:0004765,shikimate kinase activity,Catalysis of the reaction: ATP + shikimate = 3-phosphoshikimate + ADP + 2 H(+).,molecular_function
GO:0035196,production of miRNAs involved in gene silencing by miRNA,"Cleavage of stem-loop RNA precursors into microRNAs (miRNAs), a class of small RNAs that primarily silence genes by blocking the translation of mRNA transcripts into protein, or by increasing the degradation of non-protein-coding RNA transcripts.",biological_process
GO:0001750,photoreceptor outer segment,The outer segment of a vertebrate photoreceptor that contains a stack of membrane discs embedded with photoreceptor proteins.,cellular_component
GO:0001730,2'-5'-oligoadenylate synthetase activity,Catalysis of the reaction: ATP = pppA(2'p5'A)n oligomers. This reaction requires the binding of double-stranded RNA.,molecular_function
GO:0035279,mRNA cleavage involved in gene silencing by miRNA,"The process in which microRNAs (miRNAs) direct the cleavage of target mRNAs. Once incorporated into a RNA-induced silencing complex (RISC), a miRNA base pairing with near-perfect complementarity to the target mRNA will typically direct targeted endonucleolytic cleavage of the mRNA. Many plant miRNAs downregulate gene expression through this mechanism.",biological_process
GO:0051700,fructosyl-amino acid oxidase activity,Catalysis of the reaction: fructosyl-amino acid + O2 = corresponding amino acid + glucosone + H2O2.,molecular_function
GO:0004828,serine-tRNA ligase activity,Catalysis of the reaction: ATP + L-serine + tRNA(Ser) = AMP + diphosphate + L-seryl-tRNA(Ser).,molecular_function
GO:0004805,trehalose-phosphatase activity,Catalysis of the reaction: trehalose 6-phosphate + H2O = trehalose + phosphate.,molecular_function
GO:0016847,1-aminocyclopropane-1-carboxylate synthase activity,Catalysis of the reaction: S-adenosyl-L-methionine(1+) = 1-aminocyclopropane-1-carboxylate + S-methyl-5'-thioadenosine + H(+).,molecular_function
GO:0004867,serine-type endopeptidase inhibitor activity,"Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme.",molecular_function
GO:0004843,thiol-dependent ubiquitin-specific protease activity,Catalysis of the thiol-dependent hydrolysis of a peptide bond formed by the C-terminal glycine of ubiquitin and another protein.,molecular_function
GO:0004845,uracil phosphoribosyltransferase activity,Catalysis of the reaction: diphosphate + UMP = 5-phospho-alpha-D-ribose 1-diphosphate + uracil.,molecular_function
GO:0008543,fibroblast growth factor receptor signaling pathway,The series of molecular signals generated as a consequence of a fibroblast growth factor receptor binding to one of its physiological ligands.,biological_process
