protein	goterms
NUDT6_ARATH	0047631,5900000
NUDT7_ARATH	0047631,5900000
NUDT2_ARATH	0047631,5900000
NUD10_ARATH	0047631
NUDE_ECOLI	0047631,0047710,5600000,9700000,1030000,5900000
Q816E1_BACCR	0047631
AP4A_HUMAN	0004081
AP4A_CAEEL	0004081
P95110_MYCTU	0008828,0047840,0600000,1600000,6500000
Q75UV1_THETH	3200000,3900000
O05437_MYCTU	0008828
8ODP_MOUSE	1600000
8ODP_RAT	1600000
8ODP_HUMAN	1600000,2600000,3600000,4600000
Q81BT8_BACCR	0008828,0047840,0600000,6500000
MUTX_STRPN	0008828,6500000
Q55381_SYNY3	0047631
P73258_SYNY3	0047631
ADPP_METJA	0047631,2000000
Q83ZD0_SYNP2	0047631
P74291_SYNY3	0047631
Q81EE8_BACCR	9000000
NADM_SYNY3	0047631,1300000,2000000
NUDH_ECOLI	0004081,3800000,3900000
NUDH_SALTY	0004081,3800000
NUDH_PASMU	3800000
Q5GJ03_LEGPN	3800000,3900000
NUDH_BARBA	0004081,3800000,3900000,3200000,8200000
NUDH_RICPR	3800000,3900000,4800000
O04841_LUPAN	0004081
NUDH_HELPY	0004081
NUDB_ECOLI	0008828,2600000,2500000,4400000
MUTT_PROVU	1600000
MUTT_ECOLI	1600000
O06558_MYCTU	0600000,1600000,6500000
NUDC_DEIRA	5900000
NUDC_ECOLI	5900000,9900000
NPY1_YEAST	5900000,6900000,9700000
NUD12_HUMAN	0047884,5900000,6900000,7900000,9700000
NPY1_CAEEL	5900000
YTKD_BACSU	3100000,4100000,6100000,1020000
Q816N8_BACCR	0008828,0047840,0600000,6500000
Q9RVK2_DEIRA	0008796,6500000
ADPP_BACSU	0047631
Q818Z2_BACCR	0047631
Q9RSC1_DEIRA	0047631,2300000,0047884,5900000
P72646_SYNY3	0047631
Q9RVM0_DEIRA	0047631
Q84CU3_THETH	0047631
ADPP_ECOLI	0047631
ADPP_HAEIN	0047631,2300000
YFFH_ECOLI	1300000,2300000
NUDT5_HUMAN	0047631,3000000,4000000
NUDT5_MOUSE	0047631,3000000
ADPP_YEAST	0047631
NUD14_ARATH	0047631,3000000,4000000
Q4U4W6_9LACT	0019177
Q9A8K7_CAUCR	5500000,8500000,9500000
Q9HYD6_PSEAE	9500000
Q9RVP7_DEIRA	1500000,5400000
Q7CX66_AGRT5	9500000
NUD11_ARATH	7300000
NUDT7_MOUSE	1400000,2400000,7300000,8300000,9300000
PCD1_YEAST	1400000
Q9RV46_DEIRA	7300000
NDX8_CAEEL	0400000,7300000,8300000,9300000
Q81F49_BACCR	0047840,0600000
Q81CR1_BACCR	0008796
YMFB_ECOLI	0004382,0043262,4400000,5400000,6400000,8400000,9400000
Q81CI0_BACCR	0008796
Q9RS55_DEIRA	0008796,0008828,0047840,0600000,6500000
Y06L_BPT4	0047631,0047710,0047884
DIPP_ASFB7	5000000
Q9RRX6_DEIRA	0004081,3800000,3900000,0016887,0043135,8200000
Q81I75_BACCR	2300000
Q81I03_BACCR	0008828,0047840,0600000,6500000
NUD11_HUMAN	1900000,6800000,5000000
NUD10_HUMAN	5000000
NUDT4_HUMAN	5000000,6000000,7000000
NUDT3_RAT	5000000,6000000
NUDT3_HUMAN	5000000
DDP1_YEAST	5000000
APS1_SCHPO	5000000
NUDT1_ARATH	0008828,0047693,0600000,1600000,6500000
Q9RXN6_DEIRA	0008828,6500000
Q53738_STRCH	4500000
Q9RWR3_DEIRA	6500000
YFAO_ECOLI	0004170,0047840,0600000
NUDD_ECOLI	0008727,1000000
Q81BW4_BACCR	0008796
Q9RYE5_DEIRA	3300000
Q9RXI4_DEIRA	0047631,2300000,3300000
Q81EI3_BACCR	4300000
Q81CJ8_BACCR	4300000
Q818T8_BACCR	3300000
Q81B51_BACCR	4300000
Q819F9_BACCR	3300000,4300000
